Date,Open,High,Low,Close,Volume
2010-09-27,114.86,114.99,114.16,114.27,128799460
2010-09-28,114.42,115.04,113.18,114.67,209207409
2010-09-29,114.38,114.91,114.02,114.47,179665724
2010-09-30,115.05,115.79,113.59,114.13,287106609
2010-10-01,114.99,115.12,113.93,114.61,174638619
2010-10-04,114.37,114.85,113.18,113.75,166153198
2010-10-05,114.8,116.32,114.67,116.04,229634076
2010-10-06,116.02,116.33,115.56,116.03,148626519
2010-10-07,116.5,116.53,115.19,115.89,164859971
2010-10-08,116.05,116.86,115.61,116.54,177760079
2010-10-11,116.72,116.97,116.25,116.65,103098291
2010-10-12,116.27,117.35,115.65,117.01,182209984
2010-10-13,117.66,118.55,117.38,117.92,194347147
2010-10-14,117.81,118.01,116.72,117.46,217764255
2010-10-15,118.28,118.35,116.76,117.7,243704938
2010-10-18,117.74,118.67,117.31,118.54,141502179
2010-10-19,117.19,117.85,116.02,116.73,280604682
2010-10-20,116.94,118.44,116.87,117.87,200051747
2010-10-21,118.4,119.09,117.21,118.13,221546107
2010-10-22,118.31,118.53,118.0,118.35,108212321
2010-10-25,119.14,119.76,118.61,118.7,151145700
2010-10-26,118.1,118.84,117.87,118.72,158982885
2010-10-27,117.89,118.51,117.26,118.38,190023965
2010-10-28,119.06,119.11,117.83,118.4,168575989
2010-10-29,118.28,118.72,118.07,118.49,144305475
2010-11-01,119.07,119.75,117.85,118.53,174074708
2010-11-02,119.42,119.75,119.1,119.48,158345856
2010-11-03,119.68,120.02,118.45,119.95,226702775
2010-11-04,121.28,122.32,119.97,122.26,215039313
2010-11-05,122.34,122.92,122.18,122.72,180654096
2010-11-08,122.34,122.69,121.94,122.49,155901614
2010-11-09,122.82,122.95,121.12,121.61,186621575
2010-11-10,121.58,122.16,120.66,122.1,221387386
2010-11-11,121.05,121.82,120.68,121.64,158017547
2010-11-12,120.82,121.35,119.65,120.2,239068789
2010-11-15,120.58,121.05,119.98,120.03,163940710
2010-11-16,119.29,119.49,117.59,118.16,300331917
2010-11-17,118.21,118.71,117.86,118.22,172308826
2010-11-18,119.36,120.39,119.35,119.96,197723674
2010-11-19,119.9,120.34,119.25,120.29,156852807
2010-11-22,119.69,120.24,118.77,120.19,181592166
2010-11-23,118.77,119.02,117.99,118.45,222308913
2010-11-24,,,,120.2,0
2010-11-26,119.16,119.81,118.8,118.8,76007704
2010-11-29,118.5,119.48,117.74,119.16,223642224
2010-11-30,117.98,119.17,117.81,118.49,233930639
2010-12-01,120.2,121.24,120.19,121.01,221037149
2010-12-02,121.2,122.65,121.13,122.56,191213570
2010-12-03,122.14,123.03,122.11,122.89,151288823
2010-12-06,122.63,123.04,122.5,122.76,103050459
2010-12-07,123.94,124.01,122.76,122.83,206580946
2010-12-08,122.98,123.38,122.41,123.28,138019177
2010-12-09,123.97,124.02,123.15,123.76,123705049
2010-12-10,124.14,124.6,123.73,124.48,117571625
2010-12-13,125.05,125.2,124.52,124.56,133812609
2010-12-14,124.75,125.23,124.29,124.67,147249532
2010-12-15,124.44,124.93,123.89,124.1,160823010
2010-12-16,124.18,124.91,123.75,124.82,185035177
2010-12-17,124.08,124.46,123.82,124.3,141075278
2010-12-20,124.64,124.9,123.98,124.6,119085459
2010-12-21,124.99,125.47,124.87,125.39,94965438
2010-12-22,125.48,125.82,125.41,125.78,78878090
2010-12-23,,,,125.6,0
