,kor_name,ticker
354,대한과학,131220
355,피앤이솔루션,131390
356,아이디스,143160
357,화진,134780
358,제이씨케미칼,137950
359,아이씨디,040910
360,제닉,123330
361,아이지스시스템,139050
362,상아프론테크,089980
363,나이벡,138610
364,옵티시스,109080
365,대양전기공업,108380
366,서연탑메탈,019770
367,넥스트아이,137940
368,리켐,131100
369,완리,900180
370,엘아이에스,138690
371,KMH,122450
372,골프존뉴딘,121440
373,윈스,136540
374,하림,136480
375,이퓨쳐,134060
376,티케이케미칼,104480
377,부스타,008470
378,나노신소재,121600
379,케이아이엔엑스,093320
380,티피씨글로벌,130740
381,딜리,131180
382,엘비세미콘,061970
383,제이엔케이히터,126880
384,블루콤,033560
385,인트론바이오,048530
386,다나와,119860
387,씨그널엔터테인먼트그룹,099830
388,알서포트,131370
389,인텍플러스,064290
390,티에스이,131290
391,액트,131400
392,대정화금,120240
393,피제이메탈,128660
394,디에이치피코리아,131030
395,제이스테판,096690
396,티비씨,033830
397,시그네틱스,033170
398,썬텍,122800
399,한국전자인증,041460
400,디케이락,105740
401,코프라,126600
402,선데이토즈,123420
403,삼본정밀전자,111870
404,아나패스,123860
405,KNN,058400
406,누리플랜,069140
407,아이텍반도체,119830
408,인화정공,101930
409,코렌,078650
410,아이씨케이,068940
411,CJ E&M,130960
412,한일진공,123840
413,알파홀딩스,117670
414,포메탈,119500
415,다원시스,068240
416,씨젠,096530
417,와이솔,122990
418,하이비젼시스템,126700
419,화신정공,126640
420,코리아에프티,123410
421,엠에스오토텍,123040
422,이글루시큐리티,067920
423,인터로조,119610
424,하이텍팜,106190
425,웨이포트,900130
426,크루셜텍,114120
427,에스디시스템,121890
428,알톤스포츠,123750
429,유비벨록스,089850
430,처음앤씨,111820
431,오르비텍,046120
432,한솔시큐어,070300
433,실리콘웍스,108320
434,투비소프트,079970
435,인피니트헬스케어,071200
436,모바일리더,100030
437,서진오토모티브,122690
438,이스트아시아홀딩스,900110
439,뉴프라이드,900100
440,케이씨에스,115500
441,씨케이에이치,900120
442,지트리비앤티,115450
443,삼기오토모티브,122350
444,이미지스,115610
445,알비케이이엠디,106080
446,인포바인,115310
447,차이나하오란,900090
448,모베이스,101330
449,지스마트글로벌,114570
450,스타플렉스,115570
451,우리넷,115440
452,아세아텍,050860
453,우노앤컴퍼니,114630
454,코디,080530
455,글로벌에스엠,900070
456,ITX엠투엠,099520
457,KPX생명과학,114450
458,동양피엔에프,104460
459,멜파스,096640
460,위메이드,112040
461,셀바스AI,108860
462,에스앤씨엔진그룹,900080
463,이원컴포텍,088290
464,웰크론강원,114190
465,휴맥스,115160
466,에이프로젠 H&G,109960
467,동방선기,099410
468,디엠씨,101000
469,진매트릭스,109820
470,비츠로셀,082920
471,스틸플라워,087220
472,한스바이오메드,042520
473,NHN벅스,104200
474,아이앤씨,052860
475,케이엔더블유,105330
476,디에스케이,109740
477,제넥신,095700
478,톱텍,108230
479,동국S&C,100130
480,에스앤더블류,103230
481,게임빌,063080
482,동일금속,109860
483,어보브반도체,102120
484,조이맥스,101730
485,차이나그레이트,900040
486,이엔에프테크놀로지,102710
487,스맥,099440
488,해덕파워웨이,102210
489,SDN,099220
490,한국정밀기계,101680
491,흥국,010240
492,한솔신텍,099660
493,우림기계,101170
494,티플랙스,081150
495,세한엔에스브이,095300
496,에스티오,098660
497,에이테크솔루션,071670
498,에스앤에스텍,101490
499,뷰웍스,100120
500,코오롱생명과학,102940
501,네오피델리티,101400
502,파인테크닉스,106240
503,이수앱지스,086890
504,대성파인텍,104040
505,유비쿼스홀딩스,078070
506,메디톡스,086900
507,엠게임,058630
508,아이컴포넌트,059100
509,에이치엘비생명과학,067630
510,이크레더블,092130
511,SIMPAC Metal,090730
512,세운메디칼,100700
513,마이크로컨텍솔,098120
514,KJ프리텍,083470
515,삼강엠앤티,100090
516,아이엠,101390
517,웰크론한텍,076080
518,코리아에스이,101670
519,슈프리마에이치큐,094840
520,서울옥션,063170
521,이스트소프트,047560
522,청담러닝,096240
523,월덱스,101160
524,쎄트렉아이,099320
525,브리지텍,064480
526,고영,098460
527,조이시티,067000
528,우진비앤지,018620
529,테스,095610
530,예스24,053280
531,엘디티,096870
532,메타바이오메드,059210
533,효성오앤비,097870
534,네패스신소재,087730
535,텔레필드,091440
536,이트론,096040
537,에스맥,097780
538,에스코넥,096630
539,일신바이오,068330
540,서원인텍,093920
541,이씨에스,067010
542,대창솔루션,096350
543,아이에스이커머스,069920
544,알에프세미,096610
545,디엔에프,092070
546,일진파워,094820
547,비엠티,086670
548,이엘케이,094190
549,이엠코리아,095190
550,현우산업,092300
551,다믈멀티미디어,093640
552,에스에너지,095910
553,성우전자,081580
554,엘엠에스,073110
555,제이엠티,094970
556,오디텍,080520
557,ISC,095340
558,네오티스,085910
559,미래나노텍,095500
560,상보,027580
561,바이오톡스텍,086040
562,연이정보통신,090740
563,옴니시스템,057540
564,푸른기술,094940
565,웨이브일렉트로,095270
566,빅솔론,093190
567,한솔넥스지,081970
568,S&K폴리텍,091340
569,네오디안테크놀로지,072770
570,갤럭시아컴즈,094480
571,에코프로,086520
572,MP그룹,065150
573,컴투스,078340
574,네오위즈,095660
575,넥스트칩,092600
576,엔텔스,069410
577,풍강,093380
578,동국제약,086450
579,케이프,064820
580,상신이디피,091580
581,한라IMS,092460
582,에프알텍,073540
583,이엠텍,091120
584,참좋은레져,094850
585,코닉글로리,094860
586,이베스트투자증권,078020
587,매커스,093520
588,오스템임플란트,048260
589,나노캠텍,091970
590,네오팜,092730
591,비에이치,090460
592,오스코텍,039200
593,켐트로닉스,089010
594,제이스텍,090470
595,동아엘텍,088130
596,휴온스글로벌,084110
597,케이씨티,089150
598,파트론,091700
599,디에스티로봇,090710
600,유니테스트,086390
601,에스에이티,060540
602,큐에스아이,066310
603,멀티캠퍼스,067280
604,화신테크,086250
605,고려반도체,089890
606,성창오토텍,080470
607,넥스턴,089140
608,제이티,089790
609,광진윈텍,090150
610,이녹스,088390
611,THE E&M,089230
612,바텍,043150
613,MDS테크,086960
614,루멘스,038060
615,CSA 코스믹,083660
616,티엘아이,062860
617,한국전자금융,063570
618,쇼박스,086980
619,팬엔터테인먼트,068050
620,루트로닉,085370
621,인포뱅크,039290
622,아이오케이,078860
623,동우팜투테이블,088910
624,제이브이엠,054950
625,팅크웨어,084730
626,진바이오텍,086060
627,정산애강,022220
628,에이스테크,088800
629,셀트리온제약,068760
630,GST,083450
631,에너토크,019990
632,제우스,079370
633,한일네트웍스,046110
634,뉴프렉스,085670
635,유진테크,084370
636,크리스탈,083790
637,바이로메드,084990
638,바이오니아,064550
639,인콘,083640
640,차바이오텍,085660
641,대봉엘에스,078140
642,와이엔텍,067900
643,케이엠,083550
644,수성,084180
645,한국코퍼레이션,050540
646,모다이노칩,080420
647,비에이치아이,083650
648,EMW,079190
649,동부라이텍,045890
650,루미마이크로,082800
651,자연과환경,043910
652,와토스코리아,079000
653,인프라웨어,041020
654,두올산업,078590
655,서린바이오,038070
656,가비아,079940
657,덕산하이메탈,077360
658,아바코,083930
659,하나마이크론,067310
660,삼우엠스,082660
661,엘오티베큠,083310
662,이상네트웍스,080010
663,아리온,058220
664,메디포스트,078160
665,우리이티아이,082850
666,모두투어,080160
667,셀트리온,068270
668,가온미디어,078890
669,쏠리드,050890
670,옵트론텍,082210
671,젬백스,082270
672,플랜티넷,075130
673,에스제이케이,080440
674,이노와이어리스,073490
675,인베니아,079950
676,동양이엔피,079960
677,제주반도체,080220
678,한창산업,079170
679,디이엔티,079810
680,에스엔유,080000
681,iMBC,052220
682,서산,079650
683,KMH하이텍,052900
684,손오공,066910
685,미래컴퍼니,049950
686,아이크래프트,052460
687,메가스터디,072870
688,케이에스피,073010
689,KG모빌리언스,046440
690,대주전자재료,078600
691,텔레칩스,054450
692,HB테크놀러지,078150
693,도이치모터스,067990
694,토비스,051360
695,태양씨앤엘,072520
696,국일제지,078130
697,DMS,068790
698,일경산업개발,078940
699,코아로직,048870
700,신성델타테크,065350
701,한국경제TV,039340
702,다날,064260
703,형지I&C,011080
704,휘닉스소재,050090
705,코엔텍,029960
706,와이비엠넷,057030
707,CS,065770
708,아미노로직스,074430
709,한컴지엠디,077280
710,테라젠이텍스,066700
711,디에이피,066900
712,한양디지텍,078350
713,동국알앤에스,075970
714,라이트론,069540
715,디비케이,073190
716,삼진엘앤디,054090
717,에스텍파마,041910
718,넥센테크,073070
719,스포츠서울,039670
720,세진티에스,067770
721,한솔인티큐브,070590
722,삼원테크,073640
723,에이티테크놀러지,073570
724,우주일렉트로,065680
725,토필드,057880
726,아이리버,060570
727,아프리카TV,067160
728,투윈글로벌,066410
729,원익QnC,074600
730,로체시스템즈,071280
731,에버다임,041440
732,에스텍,069510
733,오텍,067170
734,키이스트,054780
735,중앙백신,072020
736,휴비츠,065510
737,우리산업홀딩스,072470
738,디지털대성,068930
739,코스온,069110
740,유아이디,069330
741,티씨케이,064760
742,아모텍,052710
743,웰크론,065950
744,파워로직스,047310
745,신스타임즈,056000
746,이라이콤,041520
747,큐브스,065560
748,홈캐스트,064240
749,씨씨에스,066790
750,웹젠,069080
751,대화제약,067080
752,우수AMS,066590
753,JW신약,067290
754,하츠,066130
755,SBS콘텐츠허브,046140
756,빅텍,065450
757,탑엔지니어링,065130
758,이루온,065440
759,재영솔루텍,049630
760,한국큐빅,021650
761,인터플렉스,051370
762,메디프론,065650
763,삼영이엔씨,065570
764,브레인콘텐츠,066980
765,리더스코스메틱,016100
766,바이오빌,065940
767,케이피엠테크,042040
768,엘앤에프,066970
769,디스플레이텍,066670
770,와이오엠,066430
771,초록뱀,047820
772,에프앤리퍼블릭,064090
773,쎌바이오텍,049960
774,능률교육,053290
775,바른전자,064520
776,KG이니시스,035600
777,넥스트BT,065170
778,파라다이스,034230
779,젬백스테크놀러지,041590
780,새로닉스,042600
781,오리엔트정공,065500
782,퍼시픽바이오,060900
783,국보디자인,066620
784,에스아이리소스,065420
785,와이디온라인,052770
786,필링크,064800
787,리노스,039980
788,현대아이비티,048410
789,에프티이앤이,065160
790,에스피지,058610
791,토탈소프트,045340
792,대진디엠피,065690
793,서호전기,065710
794,한프,066110
795,서울리거,043710
796,홈센타홀딩스,060560
797,아비코전자,036010
798,큐렉소,060280
799,제낙스,065620
800,이그잭스,060230
801,옴니텔,057680
802,우원개발,046940
803,인선이엔티,060150
804,전파기지국,065530
805,에프엔씨애드컬쳐,063440
806,지어소프트,051160
807,지엔코,065060
808,셀루메드,049180
809,KH바텍,060720
810,알에프텍,061040
811,에스폴리텍,050760
812,이랜텍,054210
813,라이브플렉스,050120
814,케이피티,054410
815,3S,060310
816,화일약품,061250
817,한진피앤씨,061460
818,오상자이엘,053980
819,농우바이오,054050
820,케이엘넷,039420
821,에스티아이,039440
822,잉크테크,049550
823,대한뉴팜,054670
824,씨티씨바이오,060590
825,인탑스,049070
826,KT서브마린,060370
827,피씨디렉트,051380
828,현진소재,053660
829,구영테크,053270
830,한국기업평가,034950
831,뉴보텍,060260
832,동양에스텍,060380
833,백금T&A,046310
834,크레아플래닛,058530
835,고려신용정보,049720
836,제일바이오,052670
837,서울반도체,046890
838,아가방컴퍼니,013990
839,일야,058450
840,미코,059090
841,에스아이티글로벌,050320
842,유신,054930
843,프럼파스트,035200
844,한국컴퓨터,054040
845,대동스틸,048470
846,레드로버,060300
847,링네트,042500
848,엔알케이,054340
849,제이웨이,058420
850,큐로컴,040350
851,팬스타엔터프라이즈,054300
852,한빛소프트,047080
853,NHN한국사이버결제,060250
854,금강철강,053260
855,룽투코리아,060240
856,포스링크,056730
857,SKC 솔믹스,057500
858,동아화성,041930
859,비츠로시스,054220
860,오리엔탈정공,014940
861,크로바하이텍,043590
862,리노공업,058470
863,성우테크론,045300
864,에스에프에이,056190
865,신화인터텍,056700
866,엑사이엔씨,054940
867,평화정공,043370
868,APS홀딩스,054620
869,코위버,056360
870,성호전자,043260
871,리젠,038340
872,레이젠,047440
873,YW,051390
874,삼영엠텍,054540
875,이니텍,053350
876,에이디칩스,054630
877,유진로봇,056080
878,태웅,044490
879,경남제약,053950
880,삼보모터스,053700
881,포스코켐텍,003670
882,한컴시큐어,054920
883,코미팜,041960
884,프리엠스,053160
885,썬코어,051170
886,코나아이,052400
887,중앙오션,054180
888,SGA,049470
889,지에스이,053050
890,팜스웰바이오,043090
891,소리바다,053110
892,아이디스홀딩스,054800
893,코데즈컴바인,047770
894,안랩,053800
895,YTN,040300
896,CMG제약,058820
897,JYP Ent.,035900
898,한국테크놀로지,053590
899,KCC건설,021320
900,세동,053060
901,프로텍,053610
902,액토즈소프트,052790
903,세코닉스,053450
904,바이넥스,053030
905,오성엘에스티,052420
906,태양,053620
907,W홀딩컴퍼니,052300
908,에임하이,043580
909,유아이엘,049520
910,넥스트바이오홀딩스,051980
911,대원미디어,048910
912,CJ프레시웨이,051500
913,파인디앤씨,049120
914,디지아이,043360
915,코텍,052330
916,한네트,052600
917,에스티큐브,052020
918,에이치엘비파워,043220
919,서화정보통신,033790
920,큐로홀딩스,051780
921,이에스에이,052190
922,나라엠앤디,051490
923,트레이스,052290
924,에코바이오,038870
925,에이텍,045660
926,SK바이오랜드,052260
927,대아티아이,045390
928,캠시스,050110
929,SFA반도체,036540
930,삼표시멘트,038500
931,SM C&C,048550
932,승일,049830
933,조광ILI,044060
934,피에스엠씨,024850
935,TPC,048770
936,코메론,049430
937,로엔,016170
938,삼화네트웍스,046390
939,성광벤드,014620
940,유니더스,044480
941,유라테크,048430
942,삼현철강,017480
943,오픈베이스,049480
944,KCI,036670
945,라온시큐어,042510
946,오로라,039830
947,금화피에스시,036190
948,코다코,046070
949,인바디,041830
950,고려제약,014570
951,크린앤사이언스,045520
952,포스코 ICT,022100
953,이젠텍,033600
954,KD건설,044180
955,이-글 벳,044960
956,아즈텍WB,032080
957,오리콤,010470
958,위닉스,044340
959,르네코,042940
960,엔피케이,048830
961,삼천당제약,000250
962,에이치케이,044780
963,정원엔시스,045510
964,한양이엔지,045100
965,누리텔레콤,040160
966,에쎈테크,043340
967,국순당,043650
968,엘컴텍,037950
969,이오테크닉스,039030
970,서울제약,018680
971,텍셀네트컴,038540
972,나노엔텍,039860
973,파나진,046210
974,오공,045060
975,솔고바이오,043100
976,현대정보기술,026180
977,비츠로테크,042370
978,코아시아홀딩스,045970
979,정상제이엘에스,040420
980,진양제약,007370
981,넥슨지티,041140
982,위노바,039790
983,지니뮤직,043610
984,진성티이씨,036890
985,현대통신,039010
986,삼아제약,009300
987,파루,043200
988,에스씨디,042110
989,한국정보공학,039740
990,디오,039840
991,네오위즈홀딩스,042420
992,다산네트웍스,039560
993,바이오스마트,038460
994,우리기술,032820
995,폭스브레인,039230
996,안국약품,001540
997,골드퍼시픽,038530
998,세중,039310
999,우리기술투자,041190
1000,HRS,036640
1001,에스에이엠티,031330
1002,NICE평가정보,030190
1003,위즈코프,038620
1004,이건홀딩스,039020
1005,파인디지털,038950
1006,나이스정보통신,036800
1007,SG&G,040610
1008,아이에이,038880
1009,에스넷,038680
1010,에스엠,041510
1011,쌍용정보통신,010280
1012,쎄니트,037760
1013,대성미생물,036480
1014,에코플라스틱,038110
1015,제이콘텐트리,036420
1016,케이엠더블유,032500
1017,화성,039610
1018,경남스틸,039240
1019,마크로젠,038290
1020,희림,037440
1021,레드캡투어,038390
1022,GS홈쇼핑,028150
1023,솔브레인,036830
1024,에프에스티,036810
1025,코맥스,036690
1026,EG,037370
1027,버추얼텍,036620
1028,성도이엔지,037350
1029,제일테크노스,038010
1030,무림SP,001810
1031,세종텔레콤,036630
1032,심텍홀딩스,036710
1033,파세코,037070
1034,영풍정밀,036560
1035,이테크건설,016250
1036,KTH,036030
1037,서희건설,035890
1038,주성엔지니어링,036930
1039,다우데이타,032190
1040,동진쎄미켐,005290
1041,선광,003100
1042,씨티엘,036170
1043,영인프런티어,036180
1044,제이에스티나,026040
1045,한국팩키지,037230
1046,삼지전자,037460
1047,우리조명,037400
1048,SK머티리얼즈,036490
1049,네패스,033640
1050,인지디스플레,037330
1051,위지트,036090
1052,유니셈,036200
1053,유성티엔에스,024800
1054,이매진아시아,036260
1055,코리아나,027050
1056,SCI평가정보,036120
1057,에이원앤,035290
1058,서울전자통신,027040
1059,대성창투,027830
1060,예림당,036000
1061,CJ오쇼핑,035760
1062,이지바이오,035810
1063,기산텔레콤,035460
1064,마제스타,035480
1065,카카오,035720
1066,바른손이앤에이,035620
1067,솔본,035610
1068,시공테크,020710
